0	1	-100
0	2	-100
0	3	-100
0	4	-100
0	5	-100
0	6	-100
0	7	-100
0	8	-100
0	9	-100
0	10	-100
1	0	-100
1	1	43.0855
1	2	30.1174
1	3	27.6578
1	4	29.5303
1	5	29.3687
1	6	19.3787
1	7	19.3672
1	8	59.1518
1	9	59.1509
1	10	-100
2	0	-100
2	1	66.9762
2	2	500
2	3	-114.314
2	4	-16.4775
2	5	7.53082
2	6	3.61705
2	7	3.54156
2	8	45.516
2	9	55.4972
2	10	-100
3	0	-100
3	1	-95.2385
3	2	-53.8059
3	3	-19.0461
3	4	-0.334237
3	5	6.19553
3	6	-2.01862
3	7	-1.88444
3	8	43.0387
3	9	54.8334
3	10	-100
4	0	-100
4	1	9.77432
4	2	-3.08531
4	3	-1.44697
4	4	3.50014
4	5	5.27235
4	6	-3.9082
4	7	-3.10221
4	8	42.5253
4	9	54.6959
4	10	-100
5	0	-100
5	1	24.0537
5	2	5.43025
5	3	1.74143
5	4	3.94477
5	5	4.78716
5	6	-4.4035
5	7	-3.38236
5	8	42.4113
5	9	54.6653
5	10	-100
6	0	-100
6	1	26.4592
6	2	6.9032
6	3	2.20739
6	4	3.89797
6	5	4.61944
6	6	-4.53216
6	7	-3.44957
6	8	42.3846
6	9	54.6582
6	10	-100
7	0	-100
7	1	26.8687
7	2	7.1229
7	3	2.23855
7	4	3.85069
7	5	4.56692
7	6	-4.56626
7	7	-3.46636
7	8	42.3781
7	9	54.6564
7	10	-100
8	0	-100
8	1	26.9271
8	2	7.14129
8	3	2.22627
8	4	3.83052
8	5	4.55104
8	6	-4.57551
8	7	-3.47072
8	8	42.3764
8	9	54.656
8	10	-100
9	0	-100
9	1	26.9309
9	2	7.13719
9	3	2.21843
9	4	3.82341
9	5	4.54631
9	6	-4.57807
9	7	-3.47188
9	8	42.376
9	9	54.6559
9	10	-100
10	0	-100
10	1	-100
10	2	-100
10	3	-100
10	4	-100
10	5	-100
10	6	-100
10	7	-100
10	8	-100
10	9	-100
10	10	-100
