0	0	-100.00000
0	1	-100.00000
0	2	-100.00000
0	3	-100.00000
0	4	-100.00000
0	5	-100.00000
1	0	-100.00000
1	1	500.00000
1	2	500.00000
1	3	148.43152
1	4	-6.90107
1	5	-100.00000
2	0	-100.00000
2	1	500.00000
2	2	500.00000
2	3	200.62716
2	4	23.96421
2	5	-100.00000
3	0	-100.00000
3	1	500.00000
3	2	302.04114
3	3	130.11291
3	4	2.13074
3	5	-100.00000
4	0	-100.00000
4	1	94.51292
4	2	78.05167
4	3	15.65260
4	4	-45.55416
4	5	-100.00000
5	0	-100.00000
5	1	-100.00000
5	2	-100.00000
5	3	-100.00000
5	4	-100.00000
5	5	-100.00000
